"Combo","Model_ID","Train_Test_ID","Date","Forecast","Target","Best_Model","Combo_ID","Model_Name","Model_Type","Recipe_ID","Hyperparameter_ID","Horizon","lo_80","hi_80","lo_95","hi_95","method_80","method_95","coverage_80","coverage_95"
"M2","arima--local--R1_ets--local--R1",1,2015-07-01,2156.92666735449,NA,"Yes","M2","NA","local","simple_average","NA",1,1490.25968628097,2823.59364842801,1291.66519447216,3022.18814023682,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",1,2015-08-01,1935.33503781393,NA,"Yes","M2","NA","local","simple_average","NA",2,1268.6680567404,2602.00201888745,1070.0735649316,2800.59651069625,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",1,2015-09-01,1974.52975639113,NA,"Yes","M2","NA","local","simple_average","NA",3,1307.86277531761,2641.19673746466,1109.2682835088,2839.79122927346,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",1,2015-10-01,1912.34046393974,NA,"Yes","M2","NA","local","simple_average","NA",4,1245.67348286622,2579.00744501327,1047.07899105741,2777.60193682208,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",1,2015-11-01,1879.129066217,NA,"Yes","M2","NA","local","simple_average","NA",5,1212.46208514348,2545.79604729053,1013.86759333468,2744.39053909934,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",1,2015-12-01,1797.18798765805,NA,"Yes","M2","NA","local","simple_average","NA",6,1130.52100658452,2463.85496873157,931.926514775715,2662.44946054038,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",2,2015-06-01,2085.2341443991,2440.00000000001,"Yes","M2","NA","local","simple_average","NA",1,1418.56716332558,2751.90112547263,1219.97267151677,2950.49561728143,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",3,2015-05-01,1708.13235899789,1730.00000000001,"Yes","M2","NA","local","simple_average","NA",1,1041.46537792437,2374.79934007141,842.87088611556,2573.39383188022,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",3,2015-06-01,2072.69197981842,2440.00000000001,"Yes","M2","NA","local","simple_average","NA",2,1406.0249987449,2739.35896089194,1207.43050693609,2937.95345270075,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",4,2015-04-01,1898.32502255495,1590.00000000001,"Yes","M2","NA","local","simple_average","NA",1,1231.65804148142,2564.99200362847,1033.06354967261,2763.58649543728,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",4,2015-05-01,1842.63774460201,1730.00000000001,"Yes","M2","NA","local","simple_average","NA",2,1175.97076352849,2509.30472567553,977.37627171968,2707.89921748434,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",4,2015-06-01,2185.27521254085,2440.00000000001,"Yes","M2","NA","local","simple_average","NA",3,1518.60823146733,2851.94219361437,1320.01373965852,3050.53668542318,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",5,2015-03-01,1903.11393998949,1960.00000000001,"Yes","M2","NA","local","simple_average","NA",1,1236.44695891597,2569.78092106301,1037.85246710716,2768.37541287182,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",5,2015-04-01,1833.97002812766,1590.00000000001,"Yes","M2","NA","local","simple_average","NA",2,1167.30304705413,2500.63700920118,968.708555245325,2699.23150100999,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",5,2015-05-01,1837.86467155205,1730.00000000001,"Yes","M2","NA","local","simple_average","NA",3,1171.19769047853,2504.53165262558,972.603198669725,2703.12614443438,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",5,2015-06-01,2167.27901594332,2440.00000000001,"Yes","M2","NA","local","simple_average","NA",4,1500.61203486979,2833.94599701684,1302.01754306099,3032.54048882565,"Conformal","Conformal",0.935185185185185,1
"M2","arima--local--R1_ets--local--R1",6,2015-02-01,2161.17042739981,1930.00000000001,"Yes","M2","NA","local","simple_average","NA",1,1494.50344632629,2827.83740847333,1295.90895451748,3026.43190028214,"Conformal","Conformal",0.935185185185185,1
