"Combo_ID","Model_ID","Model_Name","Model_Type","Recipe_ID","Forecast","Train_Test_ID","Target","Combo","Date","Hyperparameter_ID","Horizon","Best_Model","lo_80","hi_80","lo_95","hi_95","method_80","method_95","coverage_80","coverage_95"
"M1000","meanf--local--R1","meanf","local","R1",1221.70472671377,1,NA,"M1000",2015-07-01,1,1,"Yes",753.274677684733,1690.13477574281,481.453936714645,1961.95551671289,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1221.70472671377,1,NA,"M1000",2015-08-01,1,2,"Yes",753.638602259201,1689.77085116834,440.13000479177,2003.27944863577,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1221.70472671377,1,NA,"M1000",2015-09-01,1,3,"Yes",736.741927515543,1706.667525912,426.333260648961,2017.07619277858,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1221.70472671377,1,NA,"M1000",2015-10-01,1,4,"Yes",755.549826904312,1687.85962652323,400.425187107805,2042.98426631974,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1221.70472671377,1,NA,"M1000",2015-11-01,1,5,"Yes",766.802022244421,1676.60743118312,415.182398566316,2028.22705486122,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1221.70472671377,1,NA,"M1000",2015-12-01,1,6,"Yes",760.094935978771,1683.31451744877,552.644607219527,1890.76484620801,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1205.50078487957,2,1430.00000000003,"M1000",2015-06-01,1,1,"Yes",737.070735850533,1673.93083390861,465.249994880445,1945.75157487869,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1259.56842836591,3,970.000000000018,"M1000",2015-05-01,1,1,"Yes",791.138379336873,1727.99847739495,519.317638366785,1999.81921836503,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1259.56842836591,3,1430.00000000003,"M1000",2015-06-01,1,2,"Yes",791.502303911341,1727.63455282048,477.99370644391,2041.14315028791,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1270.89518971051,4,1140.00000000002,"M1000",2015-04-01,1,1,"Yes",802.465140681473,1739.32523873955,530.644399711385,2011.14597970963,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1270.89518971051,4,970.000000000018,"M1000",2015-05-01,1,2,"Yes",802.829065255941,1738.96131416508,489.32046778851,2052.46991163251,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1270.89518971051,4,1430.00000000003,"M1000",2015-06-01,1,3,"Yes",785.932390512283,1755.85798890874,475.523723645701,2066.26665577532,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1342.44206660428,5,800.000000000014,"M1000",2015-03-01,1,1,"Yes",874.012017575243,1810.87211563332,602.191276605155,2082.6928566034,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1342.44206660428,5,1140.00000000002,"M1000",2015-04-01,1,2,"Yes",874.37594214971,1810.50819105885,560.86734468228,2124.01678852628,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1342.44206660428,5,970.000000000018,"M1000",2015-05-01,1,3,"Yes",857.479267406053,1827.40486580251,547.07060053947,2137.81353266909,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1342.44206660428,5,1430.00000000003,"M1000",2015-06-01,1,4,"Yes",876.287166794822,1808.59696641374,521.162526998314,2163.72160621025,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1389.17837870158,6,880.000000000017,"M1000",2015-02-01,1,1,"Yes",920.748329672543,1857.60842773062,648.927588702455,2129.4291687007,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1389.17837870158,6,800.000000000014,"M1000",2015-03-01,1,2,"Yes",921.11225424701,1857.24450315615,607.60365677958,2170.75310062358,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1389.17837870158,6,1140.00000000002,"M1000",2015-04-01,1,3,"Yes",904.215579503353,1874.14117789981,593.80691263677,2184.54984476639,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1389.17837870158,6,970.000000000018,"M1000",2015-05-01,1,4,"Yes",923.023478892122,1855.33327851104,567.898839095614,2210.45791830755,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1389.17837870158,6,1430.00000000003,"M1000",2015-06-01,1,5,"Yes",934.275674232231,1844.08108317093,582.656050554125,2195.70070684903,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1456.96246833227,7,900.000000000016,"M1000",2015-01-01,1,1,"Yes",988.532419303233,1925.39251736131,716.711678333145,2197.2132583314,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1456.96246833227,7,880.000000000017,"M1000",2015-02-01,1,2,"Yes",988.8963438777,1925.02859278684,675.38774641027,2238.53719025427,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1456.96246833227,7,800.000000000014,"M1000",2015-03-01,1,3,"Yes",971.999669134043,1941.9252675305,661.59100226746,2252.33393439708,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1456.96246833227,7,1140.00000000002,"M1000",2015-04-01,1,4,"Yes",990.807568522812,1923.11736814173,635.682928726304,2278.24200793824,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1456.96246833227,7,970.000000000018,"M1000",2015-05-01,1,5,"Yes",1002.05976386292,1911.86517280162,650.440140184816,2263.48479647972,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1456.96246833227,7,1430.00000000003,"M1000",2015-06-01,1,6,"Yes",995.352677597271,1918.57225906727,787.902348838027,2126.02258782651,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1420.24446710013,8,1460.00000000003,"M1000",2014-12-01,1,1,"Yes",951.814418071093,1888.67451612917,679.993677101005,2160.49525709925,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1420.24446710013,8,900.000000000016,"M1000",2015-01-01,1,2,"Yes",952.17834264556,1888.3105915547,638.66974517813,2201.81918902213,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1420.24446710013,8,880.000000000017,"M1000",2015-02-01,1,3,"Yes",935.281667901903,1905.20726629836,624.87300103532,2215.61593316494,"Conformal","Conformal",0.62962962962963,0.962962962962963
"M1000","meanf--local--R1","meanf","local","R1",1420.24446710013,8,800.000000000014,"M1000",2015-03-01,1,4,"Yes",954.089567290672,1886.39936690959,598.964927494164,2241.5240067061,"Conformal","Conformal",0.62962962962963,0.962962962962963
